FIPS State county code,CBSA (Blanks are Rural),Rural area,Urban area
28129,,0,1
28131,,0,1
28133,,0,1
28135,,0,1
28137,32820,1,0
28139,,0,1
28141,,0,1
28143,32820,1,0
28145,,0,1
28147,,0,1
28149,,0,1
28151,,0,1
28153,,0,1
28155,,0,1
28157,,0,1
28159,,0,1
28161,,0,1
28163,27140,1,0
28990,,0,1
29001,,0,1
29003,41140,1,0
29005,,0,1
29007,,0,1
29009,,0,1
29011,,0,1
29013,28140,1,0
29015,,0,1
29017,16020,1,0
29019,17860,1,0
29021,41140,1,0
29023,,0,1
29025,28140,1,0
29027,27620,1,0
29029,,0,1
29031,16020,1,0
29033,,0,1
29035,,0,1
29037,28140,1,0
29039,,0,1
29041,,0,1
29043,44180,1,0
29045,,0,1
29047,28140,1,0
29049,28140,1,0
29051,27620,1,0
29053,,0,1
29055,,0,1
29057,,0,1
29059,44180,1,0
29061,,0,1
29063,41140,1,0
29065,,0,1
29067,,0,1
29069,,0,1
29071,41180,1,0
29073,,0,1
29075,,0,1
29077,44180,1,0
29079,,0,1
29081,,0,1
29083,,0,1
29085,,0,1
29087,,0,1
29089,,0,1
29091,,0,1
29093,,0,1
29095,28140,1,0
29097,27900,1,0
29099,41180,1,0
29101,,0,1
29103,,0,1
29105,,0,1
29107,28140,1,0
29109,,0,1
29111,,0,1
29113,41180,1,0
29115,,0,1
29117,,0,1
29119,22220,1,0
29121,,0,1
29123,,0,1
29125,,0,1
29127,,0,1
29129,,0,1
29131,,0,1
29133,,0,1
29135,27620,1,0
29137,,0,1
29139,,0,1
29141,,0,1
29143,,0,1
29145,27900,1,0
29147,,0,1
29149,,0,1
