PROV,paymcaid,multifac,pctwhite_2011p,Low Medicaid share (<Median),High Medicaid share (>=Median),No chain affiliation,Chain affiliation,Low racial or ethnic minority share (<Median),High racial or ethnic minority share (>=Median)
16E071,40.26,No,100,1,0,1,0,0,1
165358,70,No,100,0,1,1,0,0,1
165288,69.23,Yes,100,0,1,0,1,0,1
165561,20.37,Yes,100,1,0,0,1,0,1
165599,30.19,No,100,1,0,1,0,0,1
165590,17.5,No,100,1,0,1,0,0,1
165287,29.23,Yes,98.41,1,0,0,1,0,1
165536,44.44,No,94.94,1,0,1,0,0,1
165365,50,Yes,98.18,1,0,0,1,0,1
165428,70.37,Yes,88,0,1,0,1,1,0
165484,63.53,No,100,1,0,1,0,0,1
165535,45,No,88.89,1,0,1,0,0,1
165425,50,Yes,96.77,1,0,0,1,0,1
165330,44.44,Yes,100,1,0,0,1,0,1
165302,56.45,Yes,97.96,1,0,0,1,0,1
165449,47.67,No,100,1,0,1,0,0,1
165334,59.02,Yes,100,1,0,0,1,0,1
165391,45.71,No,100,1,0,1,0,0,1
165301,45.45,Yes,100,1,0,0,1,0,1
165509,39.47,Yes,98.26,1,0,0,1,0,1
165377,27.5,No,100,1,0,1,0,0,1
165512,64.41,No,100,0,1,1,0,0,1
16E118,50,Yes,96.92,1,0,0,1,0,1
165532,34.09,No,100,1,0,1,0,0,1
165238,58.33,Yes,100,1,0,0,1,0,1
165606,76.12,No,0,0,1,1,0,1,0
165426,93.75,Yes,93.75,0,1,0,1,0,1
165555,61.36,Yes,97.67,1,0,0,1,0,1
165326,60.87,Yes,96.92,1,0,0,1,0,1
165314,25.81,Yes,100,1,0,0,1,0,1
165252,55.32,Yes,100,1,0,0,1,0,1
165379,43.86,No,98.18,1,0,1,0,0,1
165503,42.59,No,100,1,0,1,0,0,1
165572,50,Yes,94.87,1,0,0,1,0,1
165220,62.96,Yes,100,1,0,0,1,0,1
165402,25,Yes,100,1,0,0,1,0,1
165445,60,Yes,100,1,0,0,1,0,1
165584,24.24,No,100,1,0,1,0,0,1
165565,44.26,Yes,100,1,0,0,1,0,1
165513,34.34,Yes,100,1,0,0,1,0,1
165568,40,No,95.45,1,0,1,0,0,1
165556,97.37,No,89.47,0,1,1,0,0,1
165192,32.88,Yes,98.59,1,0,0,1,0,1
