countyFIPS,7/19/20,7/19/20,population,County Infections per 100K,County Deaths per 100K,County Infections per 100K below Median,County Infections per 100K Median or higher,County Deaths per 100K below Median,County Deaths per 100K Median or higher
12097,6010,38,375751,1599,10,0,1,0,1
12099,25785,679,1496770,1723,45,0,1,0,1
12101,4943,44,553947,892,8,0,1,0,1
12103,13482,314,974996,1383,32,0,1,0,1
12105,9524,174,724777,1314,24,0,1,0,1
12107,962,8,74521,1291,11,0,1,0,1
12109,2431,16,264672,918,6,0,1,1,0
12111,3627,80,328297,1105,24,0,1,0,1
12113,1909,15,184313,1036,8,0,1,0,1
12115,4245,106,433742,979,24,0,1,0,1
12117,5329,43,471826,1129,9,0,1,0,1
12119,827,21,132420,625,16,0,1,0,1
12121,882,22,44417,1986,50,0,1,0,1
12123,206,2,21569,955,9,0,1,0,1
12125,142,3,15237,932,20,0,1,0,1
12127,5188,82,553284,938,15,0,1,0,1
12129,279,1,33739,827,3,0,1,1,0
12131,791,11,74071,1068,15,0,1,0,1
12133,297,13,25473,1166,51,0,1,0,1
0,14083,69,0,,,0,1,0,1
13001,417,15,18386,2268,82,0,1,0,1
13003,227,2,8165,2780,24,0,1,0,1
13005,345,5,11164,3090,45,0,1,0,1
13007,45,3,3038,1481,99,0,1,0,1
13009,738,35,44890,1644,78,0,1,0,1
13011,185,3,19234,962,16,0,1,0,1
13013,760,29,83240,913,35,0,1,0,1
13015,1138,46,107738,1056,43,0,1,0,1
13017,266,1,16700,1593,6,0,1,1,0
13019,201,0,19397,1036,0,0,1,1,0
13021,2201,44,153159,1437,29,0,1,0,1
13023,102,1,12873,792,8,0,1,0,1
13025,171,3,19109,895,16,0,1,0,1
13027,271,12,15457,1753,78,0,1,0,1
13029,363,5,39627,916,13,0,1,0,1
13031,791,7,79608,994,9,0,1,0,1
13033,245,7,22383,1095,31,0,1,0,1
13035,364,35,24936,1460,140,0,1,0,1
13037,175,6,6189,2828,97,0,1,0,1
13039,379,3,54666,693,5,0,1,1,0
13043,127,0,10803,1176,0,0,1,1,0
13045,1359,42,119992,1133,35,0,1,0,1
13047,390,8,67580,577,12,0,1,0,1
13049,186,2,13392,1389,15,0,1,0,1
13051,3392,40,289430,1172,14,0,1,0,1
13053,495,1,10907,4538,9,0,1,0,1
13055,93,2,24789,375,8,1,0,0,1
